Series_Title,Genre,Rating,No_of_Votes,Weighted Rating,Rating Anomalies
Uri: The Surgical Strike,Drama,8.2,43444,356240.8,No
Uri: The Surgical Strike,War,8.2,43444,356240.8,No
K.G.F: Chapter 1,Action,8.2,36680,300776.0,No
K.G.F: Chapter 1,Drama,8.2,36680,300776.0,No
Green Book,Biography,8.2,377884,3098648.8,No
Green Book,Comedy,8.2,377884,3098648.8,No
Green Book,Drama,8.2,377884,3098648.8,No
"Three Billboards Outside Ebbing, Missouri",Comedy,8.2,432610,3547401.9999999995,No
"Three Billboards Outside Ebbing, Missouri",Crime,8.2,432610,3547401.9999999995,No
"Three Billboards Outside Ebbing, Missouri",Drama,8.2,432610,3547401.9999999995,No
Talvar,Crime,8.2,31142,255364.39999999997,No
Talvar,Drama,8.2,31142,255364.39999999997,No
Talvar,Mystery,8.2,31142,255364.39999999997,No
Baahubali 2: The Conclusion,Action,8.2,75348,617853.6,No
Baahubali 2: The Conclusion,Drama,8.2,75348,617853.6,No
Klaus,Animation,8.2,104761,859040.2,No
Klaus,Adventure,8.2,104761,859040.2,No
Klaus,Comedy,8.2,104761,859040.2,No
Drishyam,Crime,8.2,70367,577009.3999999999,No
Drishyam,Drama,8.2,70367,577009.3999999999,No
Drishyam,Mystery,8.2,70367,577009.3999999999,No
Queen,Adventure,8.2,60701,497748.19999999995,No
Queen,Comedy,8.2,60701,497748.19999999995,No
Queen,Drama,8.2,60701,497748.19999999995,No
Mandariinid,Drama,8.2,40382,331132.39999999997,No
Mandariinid,War,8.2,40382,331132.39999999997,No
Bhaag Milkha Bhaag,Biography,8.2,61137,501323.39999999997,No
Bhaag Milkha Bhaag,Drama,8.2,61137,501323.39999999997,No
Bhaag Milkha Bhaag,Sport,8.2,61137,501323.39999999997,No
Gangs of Wasseypur,Action,8.2,82365,675392.9999999999,No
Gangs of Wasseypur,Comedy,8.2,82365,675392.9999999999,No
Gangs of Wasseypur,Crime,8.2,82365,675392.9999999999,No
